0.0025143,0.0042185,0.0044119,0.0054821
0.0055786,0.0063797,0.0063058,0.0072614
-2.127,0.35511,0.51695,3.2625
0.00087786,0.0025581,0.0021014,0.0041181
3.0477,3.5241,2.0144,3.9999
2.329,3.9043,4.2857,5.4965
0.037559,0.19468,0.15388,0.33638
0.10009,0.14739,0.12968,0.1952
0.092155,0.13134,0.13032,0.16755
0.81281,2.1937,3.11,3.5611
2.2711,2.5659,2.6328,2.8794
0.01463,0.060542,0.010006,0.10327
0.095257,0.16679,0.18628,0.24217
0.75707,0.79231,0.78134,0.83053
0.94785,0.97258,0.97109,0.98945
0.95767,0.9744,0.96786,0.99094
0.77215,0.89148,0.6883,0.99969
0.48383,0.61376,0.48863,0.77179
0.86867,0.9185,0.92608,0.95993
0.91158,0.95616,0.94798,0.98686
0.0016638,0.0019504,0.0019712,0.0022354
0.024418,0.026704,0.027682,0.029968
0.0032174,0.0036297,0.0035649,0.0040661
0.023528,0.026771,0.029999,0.029991
0.0015285,0.0018378,0.0018423,0.0021339
0.0055957,0.0080755,0.0083728,0.010568
0.0014647,0.0018763,0.0016519,0.0022895
